product_name,price
Container - Clear 32 Oz,2.7
"Roe - Lump Fish, Red",5.1
Soap - Mr.clean Floor Soap,14.5
Aspic - Amber,26.2
Shrimp - 31/40,14.6
Cheese - Feta,29.8
Longos - Chicken Curried,17.0
Ice Cream - Chocolate,2.9
"Tomatoes - Vine Ripe, Red",26.8
Ecolab - Power Fusion,20.2
Nantuket Peach Orange,26.0
Cheese - Bakers Cream Cheese,21.4
Cheese - Colby,11.3
Pimento - Canned,27.4
Cream - 35%,19.3
Wine - Casillero Deldiablo,13.5
Plasticspoonblack,2.4
Bar - Granola Trail Mix Fruit Nut,4.7
"Pasta - Lasagna Noodle, Frozen",2.9
Steam Pan - Half Size Deep,24.7
Ecolab Crystal Fusion,1.8
Vanilla Beans,11.8
"Veal - Insides, Grains",1.5
Sugar Thermometer,24.9
Carrots - Jumbo,23.1
Bread - White Mini Epi,15.4
Cheese - Perron Cheddar,4.8
Table Cloth 53x69 White,23.3
Napkin White,17.2
Veal - Eye Of Round,22.2
"Lemonade - Kiwi, 591 Ml",12.6
Sauce - Mint,4.9
Sauce - Mint,7.9
"Lobster - Tail, 3 - 4 Oz",18.1
Coffee Beans - Chocolate,7.1
"Bread - White, Sliced",23.7
Energy Drink Red Bull,8.9
Hold Up Tool Storage Rack,8.4
"Wine - Red, Antinori Santa",12.2
"Coconut - Shredded, Unsweet",20.4
Pastry - French Mini Assorted,28.3
Monkfish - Fresh,7.2
Mikes Hard Lemonade,17.4
"Pork - Chop, Frenched",20.1
"Pepper - Paprika, Spanish",13.8
Truffle - Whole Black Peeled,23.4
"Beef - Bones, Cut - Up",17.8
Beans - Green,10.7
Wine - Peller Estates Late,16.2
"Bag - Bread, White, Plain",7.1
"Crab - Claws, 26 - 30",28.2
"Lamb - Whole Head Off,nz",21.7
Pail With Metal Handle 16l White,15.1
Wine - Kwv Chenin Blanc South,5.1
"Turkey - Breast, Bone - In",1.2
"Chicken - Thigh, Bone In",21.9
"Artichokes - Knobless, White",26.6
Dried Peach,19.6
Lobster - Tail 6 Oz,17.8
"Nut - Almond, Blanched, Sliced",26.5
"Sprite, Diet - 355ml",1.5
Sausage - Liver,26.0
Butter Balls Salted,4.2
Southern Comfort,7.6
Lid Tray - 12in Dome,16.3
Grapefruit - White,22.2
Soup V8 Roasted Red Pepper,4.3
Chocolate - Sugar Free Semi Choc,9.9
"Pasta - Spaghetti, Dry",22.2
"Nut - Pine Nuts, Whole",8.7
Tea - English Breakfast,10.5
"Nut - Pecan, Halves",13.0
"Ranchero - Primerba, Paste",22.7
Sugar - Invert,18.2
Cake - Sheet Strawberry,29.0
Chocolate - Unsweetened,13.0
Sauerkraut,11.9
Raspberries - Fresh,23.6
Puree - Strawberry,29.9
Radish - Pickled,14.1
Lamb - Rack,5.9
Beef - Short Loin,9.9
Dikon,13.0
Mushroom - Morel Frozen,1.2
Flavouring - Rum,3.8
Sauce - Vodka Blush,13.6
Oil - Shortening - All - Purpose,3.6
"Lamb - Whole, Fresh",28.2
Pastry - Banana Tea Loaf,14.2
"Veal - Shank, Pieces",24.6
Cheese - Comtomme,17.6
Capers - Ox Eye Daisy,9.2
Beer - Guiness,23.6
Oxtail - Cut,18.6
Wiberg Super Cure,8.3
Initation Crab Meat,22.4
Frangelico,20.2
Coffee - Decaffeinato Coffee,16.5
Wine - Peller Estates Late,7.9
"Wine - White, Lindemans Bin 95",28.9
Parsley - Fresh,16.7
"Soup - Knorr, Chicken Noodle",12.8
Anchovy Paste - 56 G Tube,22.1
Beans - Butter Lrg Lima,20.4
"Beef - Cooked, Corned",27.7
Pancetta,16.4
"Beef - Cooked, Corned",27.5
Flower - Dish Garden,12.2
Cake - Lemon Chiffon,11.3
Yoplait Drink,24.9
"Soda Water - Club Soda, 355 Ml",13.6
"Asparagus - White, Fresh",28.1
Poppy Seed,8.6
"Soup - Campbells, Creamy",22.6
Table Cloth 53x53 White,16.5
"Lid - 10,12,16 Oz",24.9
Cup - Paper 10oz 92959,4.7
Island Oasis - Ice Cream Mix,17.9
"Beef - Roasted, Cooked",22.7
Beer - Fruli,11.3
Rice - Sushi,29.8
Lid - 16 Oz And 32 Oz,1.4
Wine - Cave Springs Dry Riesling,8.9
"Wine - Mas Chicet Rose, Vintage",1.5
Coffee Guatemala Dark,10.7
Wine - Pinot Noir Latour,21.0
Longos - Grilled Chicken With,11.0
Pork - Bones,10.4
Cheese - Wine,28.9
Milk - 1%,3.8
Soup Campbells,1.2
Muffin Mix - Raisin Bran,21.1
Steampan - Lid For Half Size,21.5
Cookies - Amaretto,11.4
"Sauce - Bernaise, Mix",10.3
Irish Cream - Butterscotch,20.7
Beer - Guiness,27.1
Radish - Pickled,9.0
Wine - Beringer Founders Estate,7.5
Sole - Iqf,13.0
Soup - Campbells Tomato Ravioli,19.7
"Lamb - Whole Head Off,nz",23.9
"Soup - Campbells, Spinach Crm",4.3
Lamb - Sausage Casings,17.3
Calypso - Pineapple Passion,13.4
Easy Off Oven Cleaner,5.0
Snapple - Mango Maddness,1.2
Wine - Gato Negro Cabernet,5.4
Potatoes - Mini Red,20.8
Chevril,4.0
Kiwi,10.2
Cheese - Mix,11.1
Fib N9 - Prague Powder,16.2
Lettuce - Lolla Rosa,8.8
Brandy - Bar,3.4
Cheese - Goat With Herbs,8.5
Onions - Spanish,21.9
Curry Paste - Green Masala,14.1
Vinegar - White,10.2
"Sugar - Sweet N Low, Individual",29.4
Beef - Ground Medium,25.6
Eggplant - Baby,7.1
Almonds Ground Blanched,17.6
Initation Crab Meat,4.3
Nantucket - Carrot Orange,3.9
Shark - Loin,8.0
Tea - Herbal I Love Lemon,23.1
Pepper - Chili Powder,16.3
Wine - Chianti Classico Riserva,5.8
Chef Hat 25cm,21.2
